fence_id,start_time,wait_minutes
1,2025-03-21 12:15:20,2842
1,2025-03-27 19:52:07,1076
1,2025-03-28 18:45:42,17275
1,2025-04-12 18:12:22,2719
1,2025-04-14 15:43:45,22
1,2025-04-14 17:43:45,30
1,2025-04-28 16:14:43,8428
1,2025-05-04 13:05:30,59
2,2025-03-22 19:44:04,961
2,2025-03-28 19:42:41,33
2,2025-03-28 20:24:34,6
2,2025-04-14 15:30:02,49
3,2025-03-25 13:58:42,226
3,2025-03-27 18:41:38,46
3,2025-03-27 20:35:08,1045
3,2025-03-28 18:54:04,18703
5,2025-03-25 12:04:01,115
6,2025-03-28 17:47:03,17333
7,2025-03-20 18:40:55,10029
7,2025-03-27 20:36:03,1344
7,2025-03-28 19:32:17,17
7,2025-04-14 15:20:37,56
7,2025-04-28 14:33:05,160
8,2025-03-27 18:49:57,87
8,2025-03-27 20:34:42,18606
9,2025-03-22 20:31:45,4195
9,2025-03-27 18:22:27,1199
9,2025-03-28 18:07:36,128
9,2025-03-28 20:30:45,17169
9,2025-04-12 18:26:48,2756
9,2025-04-28 16:05:19,70
11,2025-03-25 19:16:53,2793
11,2025-03-27 19:07:13,50
11,2025-04-10 19:10:04,2812
12,2025-05-04 12:52:51,6
13,2025-03-27 17:35:44,15
14,2025-03-23 12:31:26,2768
14,2025-03-25 18:25:08,74
14,2025-03-27 18:10:42,1449
14,2025-03-28 18:34:56,20
14,2025-04-10 19:10:58,2792
14,2025-04-14 16:17:14,85
17,2025-03-22 19:38:18,4299
17,2025-04-12 17:42:58,31495
18,2025-03-25 12:05:36,153
18,2025-04-15 10:45:35,27480
19,2025-04-10 18:33:58,24
21,2025-03-20 18:44:14,3929
21,2025-03-25 13:54:49,281
21,2025-03-28 14:07:28,17553
22,2025-03-20 18:26:41,6946
22,2025-03-27 18:15:16,18745
23,2025-03-25 19:12:34,2798
23,2025-03-27 18:24:56,64
23,2025-03-28 18:10:12,110
23,2025-04-14 16:20:08,20058
24,2025-03-28 19:56:29,4
25,2025-03-28 19:44:09,17216
26,2025-03-28 19:56:29,4
29,2025-04-14 16:00:13,28717
31,2025-03-25 19:45:48,2735
31,2025-03-27 17:33:03,17
31,2025-03-27 18:06:38,111
31,2025-03-28 13:32:27,17588
31,2025-04-10 19:11:31,2816
31,2025-04-14 18:34:47,28465
33,2025-03-25 13:41:29,3129
36,2025-03-25 19:37:27,2773
