fence_id,latitude,longitude,hour,dayofweek,is_weekend,real_wait_minutes
1,32.2094,35.1899,11,6,1,961.9666666666667
1,32.2094,35.1899,13,4,0,1076.1166666666666
1,32.2094,35.1899,18,2,0,17260.35
1,32.2094,35.1899,15,0,0,2692.3
1,32.2094,35.1899,16,0,0,22.733333333333334
1,32.2094,35.1899,18,0,0,30.583333333333332
1,32.2094,35.1899,12,6,1,8390.116666666667
1,32.2094,35.1899,14,6,1,48.71666666666667
2,32.2534,35.1883,11,6,1,961.1
2,32.2534,35.1883,20,4,0,13.783333333333333
2,32.2534,35.1883,20,4,0,6.166666666666667
2,32.2534,35.1883,16,0,0,49.583333333333336
3,31.9713,35.2295,17,1,0,226.03333333333333
3,31.9713,35.2295,19,3,0,46.9
3,31.9713,35.2295,14,4,0,1045.7
3,31.9713,35.2295,18,3,0,18703.683333333334
5,32.3231,35.2205,13,1,0,115.95
6,32.2751,35.1947,18,2,0,17333.683333333334
7,32.2227,35.2621,17,3,0,10029.816666666668
7,32.2227,35.2621,19,4,0,67.65
7,32.2227,35.2621,19,4,0,9.116666666666667
7,32.2227,35.2621,16,0,0,56.4
7,32.2227,35.2621,17,0,0,160.38333333333333
8,32.1809,35.2492,20,3,0,15.316666666666666
8,32.1809,35.2492,18,2,0,18606.033333333333
9,32.1637,35.2877,18,1,0,4195.083333333333
9,32.1637,35.2877,14,4,0,1100.95
9,32.1637,35.2877,20,4,0,61.916666666666664
9,32.1637,35.2877,18,2,0,17169.983333333334
9,32.1637,35.2877,16,0,0,38.85
9,32.1637,35.2877,17,0,0,70.03333333333333
11,31.856,35.4603,17,3,0,2793.85
11,31.856,35.4603,19,3,0,50.5
11,31.856,35.4603,18,5,1,2812.6833333333334
12,31.771,35.261,12,6,1,4.416666666666667
13,31.808,35.2571,17,3,0,15.0
14,31.742,35.2893,10,1,0,2768.5666666666666
14,31.742,35.2893,19,1,0,74.61666666666666
14,31.742,35.2893,18,4,0,1423.3
14,31.742,35.2893,18,4,0,20.45
14,31.742,35.2893,17,5,1,2792.3
14,31.742,35.2893,17,0,0,85.95
17,32.1907,35.1367,19,1,0,4299.75
17,32.1907,35.1367,14,6,1,31487.033333333333
18,31.5703,35.1109,14,1,0,153.51666666666668
18,31.5703,35.1109,12,6,1,27480.533333333333
19,32.0837,35.1882,18,3,0,24.066666666666666
21,31.8632,35.207,12,6,1,983.3666666666667
21,31.8632,35.207,18,1,0,281.78333333333336
21,31.8632,35.207,18,2,0,17553.266666666666
22,31.7871,35.2661,14,1,0,2983.2833333333333
22,31.7871,35.2661,18,2,0,17190.5
23,31.6939,35.1678,17,3,0,12.55
23,31.6939,35.1678,19,3,0,64.38333333333334
23,31.6939,35.1678,20,4,0,4.333333333333333
23,31.6939,35.1678,14,0,0,20058.566666666666
24,31.7123,35.1848,20,4,0,4.333333333333333
25,0.0,0.0,18,2,0,17216.583333333332
26,31.6943,35.1658,20,4,0,4.333333333333333
29,32.0155,35.1223,14,6,1,8631.133333333333
31,31.8469,35.4611,17,3,0,2735.3333333333335
31,31.8469,35.4611,17,3,0,17.683333333333334
31,31.8469,35.4611,19,3,0,102.8
31,31.8469,35.4611,18,2,0,17559.25
31,31.8469,35.4611,18,5,1,2816.2
31,31.8469,35.4611,13,6,1,28465.916666666668
33,32.1127,35.144,17,3,0,3129.25
36,32.1323,35.2072,17,3,0,2773.2833333333333
